cDen,Pot,Sn %,pH,weight,Cu %,C2H4
1.0,0.9361702127659575,0.03,1.0,0.5492453879201415,0.97,0.1
0.5555555555555556,0.6808510638297872,0.0,1.0,0.5353045236290119,1.0,0.31
1.0,0.9574468085106382,0.1,1.0,0.5817740712661107,0.9,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.7777777777777778,0.8936170212765957,0.8,1.0,0.9070609047258024,0.19999999999999996,0.0
0.31777777777777777,0.851063829787234,0.8,0.5708185053380782,0.9070609047258024,0.19999999999999996,0.0
0.7777777777777778,0.851063829787234,0.03,1.0,0.5492453879201415,0.97,0.09
0.5555555555555556,0.7446808510638298,0.03,1.0,0.5492453879201415,0.97,0.09
0.5555555555555556,0.8085106382978723,0.8,1.0,0.9070609047258024,0.19999999999999996,0.0
0.7777777777777778,0.8723404255319148,0.5,1.0,0.767652261814506,0.5,0.02
0.5555555555555556,0.7872340425531915,0.5,1.0,0.767652261814506,0.5,0.02
0.3333333333333333,0.851063829787234,0.03,0.5708185053380782,0.5492453879201415,0.97,0.24
0.3333333333333333,0.7446808510638298,1.0,1.0,1.0,0.0,0.0
0.3333333333333333,0.6382978723404255,0.05,1.0,0.5585392974475613,0.95,0.04
0.7777777777777778,0.8723404255319148,0.1,1.0,0.5817740712661107,0.9,0.06
1.0,0.8936170212765957,0.0,1.0,0.5353045236290119,1.0,0.25
0.3333333333333333,0.6382978723404255,0.03,1.0,0.5492453879201415,0.97,0.07
0.5555555555555556,0.7659574468085106,0.05,1.0,0.5585392974475613,0.95,0.08
0.3333333333333333,0.702127659574468,0.8,1.0,0.9070609047258024,0.19999999999999996,0.0
0.3333333333333333,0.6808510638297872,0.5,1.0,0.767652261814506,0.5,0.0
0.33111111111111113,0.851063829787234,0.05,0.5708185053380782,0.5585392974475613,0.95,0.21
0.3333333333333333,0.6595744680851063,0.1,1.0,0.5817740712661107,0.9,0.01
0.31777777777777777,0.851063829787234,0.5,0.5708185053380782,0.767652261814506,0.5,0.01
1.0,0.978723404255319,0.5,1.0,0.767652261814506,0.5,0.02
0.32222222222222224,0.851063829787234,0.1,0.5708185053380782,0.5817740712661107,0.9,0.11
0.5555555555555556,0.7659574468085106,0.1,1.0,0.5817740712661107,0.9,0.06
1.0,0.978723404255319,0.8,1.0,0.9070609047258024,0.19999999999999996,0.0
0.7777777777777778,0.851063829787234,0.05,1.0,0.5585392974475613,0.95,0.08
1.0,0.9574468085106382,0.05,1.0,0.5585392974475613,0.95,0.06
0.3333333333333333,0.5957446808510638,0.0,1.0,0.5353045236290119,1.0,0.15
0.7777777777777778,0.7659574468085106,0.0,1.0,0.5353045236290119,1.0,0.31
0.3333333333333333,0.851063829787234,0.0,0.5708185053380782,0.5353045236290119,1.0,0.37
0.5555555555555556,0.851063829787234,1.0,1.0,1.0,0.0,0.0
0.7777777777777778,0.9148936170212765,1.0,1.0,1.0,0.0,0.0
0.31333333333333335,0.851063829787234,1.0,0.5708185053380782,1.0,0.0,0.0
